id,name,imageUrl,sortId,ctime
30,糯米纸	, ，3
31, 食物残渣, , 3
32, 菜叶, , 3
33, 肉类, , 3,
34, 鱼虾, ,3,
35, 树叶, ,3,
36, 瓜子壳, ,3,
37, 花生壳, , 3,
38, 茶渣, ,3,
39, 光盘,,4,
40, 铅笔屑,,4,
41, 一次性口罩,,4,
42, 棉签,,4,
43,口香糖,,4,
44, 一次性塑料袋,, 4,
45, 香烟,, 4,
46, 大米袋,,4,
47, 蜡烛,,4,
48, 陶瓷制品,,4,
49, 橡皮,,4,
50, 一次性塑料餐盒,,4,
51, 调料袋,,4,
52, 纸质包装袋,,4,
53, 皮带,,1,
54, 纸,,1,
55, 篮球,,1,
56, 废弃衣服,,1,
57, 旧纸袋,,1,
58, 纸盒,,1,
59, 塑料包装,,1,
60, 铁皮罐头,,1,
61, 玻璃,,1,
62, 金属制品,,1,
63, 酒瓶,,1,
64, 自行车轮胎,,1,
65, 废旧电子产品,,1,
66, 办公用纸,,1,
67, 废弃药瓶,,2,
68, 充电电池,,2,
69, 手机电池,,2,
70, 废水银温度计,,2,
71, 过期药品,,2,
72, 废农药,,2,
73, 镍镉电池,,2,
74, 酒精,,2,
75, 过期的胶囊药物,,2,
76, 过期药片,,2,
77, 蓄电池,,2,
78, 废弃灯泡,,2,
79, 塑料药瓶,,2,
80, 药片内包装,,2,
81, 蟑螂药,,2,
82,过期西药,,2,
83, 宠物粪便,,3,
84, 衣橱,,5,
85, 木椅,,5,
86, 书架,,5,
87, 躺椅,,5,
88, 书桌,,5,
89, 旧椅子,,5,
90, 床,,5,
91, 桌子,,5,


